title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact,cleaned_description
po template changes,po template changes hi please thank engineer wednesday pm re po template changes hi had few updates these final ones fingers crossed moving please ensure po reference quoted invoice order avoid delays down decimal points decimals item price po terms conditions format justified layout example attached word doc possible align total under ordered appreciate cheers re po template changes hi done please regards friday december pm re po template changes hi attached contains more changes text please ensure po reference quoted invoice order avoid delays red better visibility bring quantity description pricing item description attached example cheers december re po template changes hi made requested changes please about po language templates each best regards engineer tuesday december pm re po template changes hi reviewed po amendments hard code text please ensure po reference quoted invoice order avoid delays center deliver name word promised text requested promised dates correspond date arrival location under words price ordered next figures example thanks december re po template changes hi modified po template test example screen also test phone entity please thanks wednesday december pm po template changes hi follow instructions amend po template test instance accordingly attached copy template currently questions please let hi kind enough change cheers thursday october pm re po template changes hi work progress moment po template extent his best tweak things around changes suggested ones presented attached please let concerns respect points addition phone under section intention automatically these by near future text saying invoice rejected po number reference please ensure po reference quoted invoice order avoid issues invoice processing mandatory po please ensure po reference quoted invoice order avoid delays removal promised date requested date po which currently disrupting way po displays items addition inside po against each possible bottom table avoid confusion raised about localization change po language depending entity which also explored agree important countries please let wish drop by further detail thanks kind regards thursday october re po template changes hi guys progressed action kind regards head wednesday pm re po template changes hi attached po which help format thanks po template changes hello per discussion morning interested find out further customize po template version extremely hard too lengthy attached sample file outcome produce by per discussions back few points wanted cover were addition phone under section intention automatically these by near future text saying invoice rejected po number reference mandatory po removal promised date requested date po body highlighted yellow addition inside po table avoid confusion etc kind regards,1,Billing,3,7,66,3,4,po template change hi please thank engineer wednesday pm po template change hi update final one finger crossed moving please ensure po reference quoted invoice order avoid delay decimal point decimal item price po term condition format justified layout example attached word doc possible align total ordered appreciate cheer po template change hi done please regard friday december pm po template change hi attached contains change text please ensure po reference quoted invoice order avoid delay red better visibility bring quantity description pricing item description attached example cheer december po template change hi made requested change please po language template best regard engineer tuesday december pm po template change hi reviewed po amendment hard code text please ensure po reference quoted invoice order avoid delay center deliver name word promised text requested promised date correspond date arrival location word price ordered next figure example thanks december po template change hi modified po template test example screen also test phone entity please thanks wednesday december pm po template change hi follow instruction amend po template test instance accordingly attached copy template currently question please let hi kind enough change cheer thursday october pm po template change hi work progress moment po template extent best tweak thing around change suggested one presented attached please let concern respect point addition phone section intention automatically near future text saying invoice rejected po number reference please ensure po reference quoted invoice order avoid issue invoice processing mandatory po please ensure po reference quoted invoice order avoid delay removal promised date requested date po currently disrupting way po display item addition inside po possible bottom table avoid confusion raised localization change po language depending entity also explored agree important country please let wish drop detail thanks kind regard thursday october po template change hi guy progressed action kind regard head wednesday pm po template change hi attached po help format thanks po template change hello per discussion morning interested find customize po template version extremely hard lengthy attached sample file outcome produce per discussion back point wanted cover addition phone section intention automatically near future text saying invoice rejected po number reference mandatory po removal promised date requested date po body highlighted yellow addition inside po table avoid confusion etc kind regard
server decommission,pm re kernel stack hello please rise order decommission these thank best regards engineer pm re kernel stack hi checked two easier take down thanks re kernel stack hello updates thank best regards engineer tuesday pm re kernel stack hi machines actively currently upgrade done by required credentials thanks re kernel stack hi looping architect pm mobile help re kernel stack hello information investigate shared challenge vulnerability exists exploitable owned by found subject vulnerability upgrade kernel please updates kernel package fix vulnerability till release date mitigate vulnerability by setting challenge limit arbitrary high want deal kernel upgrade root code please let questions regarding issue thank best regards engineer friday pm kernel stack queue thank analyst community builder ext thursday pm kernel stack hi ask investigate newly kernel stack link exist exploitable owned by available configuration change fixed version kernel has released yet tor users corrupted communications thanks regards information compliance officer extension,1,Technical,22,87,95,3,4,pm kernel stack hello please rise order decommission thank best regard engineer pm kernel stack hi checked two easier take thanks kernel stack hello update thank best regard engineer tuesday pm kernel stack hi machine actively currently upgrade done required credential thanks kernel stack hi looping architect pm mobile help kernel stack hello information investigate shared challenge vulnerability exists exploitable owned found subject vulnerability upgrade kernel please update kernel package fix vulnerability till release date mitigate vulnerability setting challenge limit arbitrary high want deal kernel upgrade root code please let question regarding issue thank best regard engineer friday pm kernel stack queue thank analyst community builder ext thursday pm kernel stack hi ask investigate newly kernel stack link exist exploitable owned available configuration change fixed version kernel released yet tor user corrupted communication thanks regard information compliance officer extension
time error oracle,sent july error hi friday tried insert but automatically confirmed hours thought might be error try monday mention friday submitted today nothing changed can you please advise what should per below thank you shared officer ext address st emergency telephone number,0,Technical,21,41,68,1,3,sent july error hi friday tried insert automatically confirmed hour thought might error try monday mention friday submitted today nothing changed please advise per thank shared officer ext address st emergency telephone number
oracle problem,hello apparently expense reports advances go cost center although for expense reports select codes other cost centers,0,Billing,51,82,68,2,3,hello apparently expense report advance go cost center although expense report select code cost center
meeting room phone extension not working,sent wednesday meeting room phone hi meeting room phone working have logged with own number hardware working but assigned working have used pin phone but gives error found thanks technical programme manager planned holiday,0,Technical,50,29,32,2,3,sent wednesday meeting room phone hi meeting room phone working logged number hardware working assigned working used pin phone give error found thanks technical programme manager planned holiday
oracle error while attempting to approve,sent wednesday march re invoice hello everybody getting error while attempting approve copying for help best digital,0,Billing,21,41,68,1,3,sent wednesday march invoice hello everybody getting error attempting approve copying help best digital
to access control units,sent thursday february access control problem hello noticed communicate with access control units ca ca ca could you please investigate thank you engineer,0,Login,41,73,41,0,3,sent thursday february access control problem hello noticed communicate access control unit ca ca ca could please investigate thank engineer
technical equipment for,re technical equipment hi please advise equipment models fit needs kind regards administrator pm technical equipment dear help purchase technical equipment kick off costs covered budget please give proposals prices headset speakers without big lapel prefer microphone cables cable presentations thanks great,1,Billing,13,7,32,3,4,technical equipment hi please advise equipment model fit need kind regard administrator pm technical equipment dear help purchase technical equipment kick cost covered budget please give proposal price headset speaker without big lapel prefer microphone cable cable presentation thanks great
access to confluence project billing,confluence billing hello please billing confluence joining contract billing please link billing thank programme portfolio officer,1,Billing,1,7,27,3,4,confluence billing hello please billing confluence joining contract billing please link billing thank programme portfolio officer
unable to access storage,unable access hello during last couple days unable access activate some software products presumably happened after upgrading tried connecting through cable still luck software developer en,0,Login,49,73,38,0,3,unable access hello last couple day unable access activate software product presumably happened upgrading tried connecting cable still luck software developer en
new delivery pro en,friday july hi order number pro retina intel plus graphics kb uploaded needs log installation also assign type hub growth please perform order number by tutorial thanks administrator phone thursday july hello received apple pro po invoice please advise kind regards engineer ext,1,Billing,13,7,32,3,4,friday july hi order number pro retina intel plus graphic kb uploaded need log installation also assign type hub growth please perform order number tutorial thanks administrator phone thursday july hello received apple pro po invoice please advise kind regard engineer ext
block,thursday july preparing effective dear please kind regards developer thursday july preparing effective writing workshop greetings location training date view more course details writing effective includes convincing order accomplish out course action created purpose represent suitable solution clearly defined problem creating professional hands practical course takes delegates easy process simple example defining opportunity prepare plan course help individuals show style way motivates while covering fundamental requirements gain knowledge skills by practicing writing techniques help write convincing plan identifying proper approach managing information ensure more details learn introduction overview step by step process model writing writing clearly effectively cost benefit analysis typical template checklist how prepare illustrations scenarios writing skills trends practices principles errors benefits hard copy course material approved certificate tea lunch post training course completion certificate view more registration details price bird price bird date person duffy looking please feel free road east ham,1,Billing,3,0,89,3,4,thursday july preparing effective dear please kind regard developer thursday july preparing effective writing workshop greeting location training date view course detail writing effective includes convincing order accomplish course action created purpose represent suitable solution clearly defined problem creating professional hand practical course take delegate easy process simple example defining opportunity prepare plan course help individual show style way motivates covering fundamental requirement gain knowledge skill practicing writing technique help write convincing plan identifying proper approach managing information ensure detail learn introduction overview step step process model writing writing clearly effectively cost benefit analysis typical template checklist prepare illustration scenario writing skill trend practice principle error benefit hard copy course material approved certificate tea lunch post training course completion certificate view registration detail price bird price bird date person duffy looking please feel free road east ham
changing staff forecasts pas cost calculation,changing forecasts cost calculation hi found morning forecast changes update costs had calculate cost function actions menu had budget assume reverted back automatic updates changed consistent own experiences watch changing costs expect change days copied advise missed thanks director,1,Billing,3,88,70,3,4,changing forecast cost calculation hi found morning forecast change update cost calculate cost function action menu budget assume reverted back automatic update changed consistent experience watch changing cost expect change day copied advise missed thanks director
monthly check of its account,hello please uses outages order avoid deactivated by steps log search credentials log log out encounter issues please kind regards,1,Technical,2,88,36,3,4,hello please us outage order avoid deactivated step log search credential log log encounter issue please kind regard
cannot run reports oracle,cannot run reports hello every want run reports screen looks like below cannot chose criteria for example try run reports following path below tools reports shared folders custom programme expense reports details or tools reports shared folders custom programme open po report or transaction report can you please check thank you kind regards programme portfolio officer,0,Billing,21,41,68,1,3,cannot run report hello every want run report screen look like cannot chose criterion example try run report following path tool report shared folder custom programme expense report detail tool report shared folder custom programme open po report transaction report please check thank kind regard programme portfolio officer
oracle pipeline forecast can enter forecast data for account,sent wednesday re pipeline forecast can enter forecast data for what really need known pipeline item set up for forecast against with opportunity shown below what process for getting set up please thanks sent pipeline forecast can enter forecast data for seem be prevented entering pipeline forecast data for for cells greyed out period trying enter data for future months below have problem with access rights need enter data today urgently need your help or advice if you have could you if you have access rights enter days for resources starting thanks client engagement manager manager,0,Login,21,41,70,2,3,sent wednesday pipeline forecast enter forecast data really need known pipeline item set forecast opportunity shown process getting set please thanks sent pipeline forecast enter forecast data seem prevented entering pipeline forecast data cell greyed period trying enter data future month problem access right need enter data today urgently need help advice could access right enter day resource starting thanks client engagement manager manager
keys not working properly,keys working properly hi please help with issue related laptop keyboard some keys backspace few others working properly sense sometimes work sometimes makes writing very difficult thank you ledger accountant,0,Login,13,74,32,2,3,key working properly hi please help issue related laptop keyboard key backspace others working properly sense sometimes work sometimes make writing difficult thank ledger accountant
oracle problem,sent thursday problem hi trying make correction previously submitted for th th removed one entry but when tried add entry replace got error saying someone was editing card then tried again add entry then got message saying error had occurred administrator notified card for whole week th th gone blank card for following week was correct please help regards infrastructure consultant en,0,Technical,21,41,68,1,3,sent thursday problem hi trying make correction previously submitted th th removed one entry tried add entry replace got error saying someone editing card tried add entry got message saying error occurred administrator notified card whole week th th gone blank card following week correct please help regard infrastructure consultant en
unable to connect to,sent thursday unable connect or download docs dear attached outages affecting access can connect while can into can download report documents need print screen below when try run view report attached goes into endless loop asking for then rejecting attempts even task manager can kill if these related or separate tickets but given urgency budget tasks can wait till tuesday for solution regards,0,Login,21,77,65,1,3,sent thursday unable connect download doc dear attached outage affecting access connect download report document need print screen try run view report attached go endless loop asking rejecting attempt even task manager kill related separate ticket given urgency budget task wait till tuesday solution regard
re travel options has been assigned to am oracle support remove as,re options has assigned hello please separate order thank kind regards tuesday november pm re options has assigned hi official stand please approve trip note agreed covered by client proceed technical since disabled thanks tuesday november pm re options hi letting final approver trip she extended leave therefore these trip fully approved please discuss update flow asap purchase tickets accommodation thank shared officer ext st emergency number friday november pm re options hi please proceed bookings flight details departure date departure departure destination flight operator plus fare return date return departure destination flight operator plus fare accommodation details name holiday nine elms date out date total nights accommodation type room breakfast included flight details departure date departure departure destination flight operator plus fare return date return departure destination flight operator plus fare accommodation details name holiday nine elms date out date total nights accommodation type room breakfast included flight details departure date departure departure destination flight operator plus fare return date return departure destination flight operator plus fare accommodation details name holiday nine elms date out date total nights accommodation type room breakfast included code costs shall other details required please let best regards thursday november pm re options hi please find options available requested dates checked luggage cabin luggage priority boarding checked luggage cabin luggage priority boarding plus fare large cabin bag checked luggage priority boarding piece checked luggage after departure modified penalty plus fare readjustment booking class available accommodation holiday nine elms room breakfast rate ibis styles ibis styles index single room breakfast rate double breakfast rate looking forward kind regards shared officer ext st emergency number wednesday november pm options dear quote options details details visit departure date departure destination number accommodation duration person nights out date preferably close gate kingdom persons nights out date preferably close gate kingdom return dates person flying back persons flying back preferably departure destination please available options back other details required please let thanks image image image image image image please link kind regards please ref msg,1,Billing,3,87,67,3,4,option assigned hello please separate order thank kind regard tuesday november pm option assigned hi official stand please approve trip note agreed covered client proceed technical since disabled thanks tuesday november pm option hi letting final approver trip extended leave therefore trip fully approved please discus update flow asap purchase ticket accommodation thank shared officer ext st emergency number friday november pm option hi please proceed booking flight detail departure date departure departure destination flight operator plus fare return date return departure destination flight operator plus fare accommodation detail name holiday nine elm date date total night accommodation type room breakfast included flight detail departure date departure departure destination flight operator plus fare return date return departure destination flight operator plus fare accommodation detail name holiday nine elm date date total night accommodation type room breakfast included flight detail departure date departure departure destination flight operator plus fare return date return departure destination flight operator plus fare accommodation detail name holiday nine elm date date total night accommodation type room breakfast included code cost shall detail required please let best regard thursday november pm option hi please find option available requested date checked luggage cabin luggage priority boarding checked luggage cabin luggage priority boarding plus fare large cabin bag checked luggage priority boarding piece checked luggage departure modified penalty plus fare readjustment booking class available accommodation holiday nine elm room breakfast rate ibis style ibis style index single room breakfast rate double breakfast rate looking forward kind regard shared officer ext st emergency number wednesday november pm option dear quote option detail detail visit departure date departure destination number accommodation duration person night date preferably close gate kingdom person night date preferably close gate kingdom return date person flying back person flying back preferably departure destination please available option back detail required please let thanks image image image image image image please link kind regard please ref msg
is eating cpu,eating cpu hi sometimes one for getting crazy consumes up cpu stop laptop getting slower due affects ordinary work can you please help with issue attached you can find copy task manager with evidence software consultant,0,Technical,21,77,63,2,3,eating cpu hi sometimes one getting crazy consumes cpu stop laptop getting slower due affect ordinary work please help issue attached find copy task manager evidence software consultant
projects folders read access user account for data fingerprinting task,wednesday november pm folders user fingerprinting task hi possible user well ad granted client folders want loss prevention tool testing moment client folders tool fingerprint files folders files content files attached uploaded sites where install agent software possibility proposed user restricted daily possibly weekly window during which needs folders run fingerprinting task also possible restrict source addresses course right thinking old believe few folders copied over because yet accessible eventually proposed user client folders too perform fingerprinting task instead thanks kind regards information compliance officer extension,1,Login,2,7,4,3,4,wednesday november pm folder user fingerprinting task hi possible user well ad granted client folder want loss prevention tool testing moment client folder tool fingerprint file folder file content file attached uploaded site install agent software possibility proposed user restricted daily possibly weekly window need folder run fingerprinting task also possible restrict source address course right thinking old believe folder copied yet accessible eventually proposed user client folder perform fingerprinting task instead thanks kind regard information compliance officer extension
